"Agent","Prompt","ResponseTime","PromptTokens","CompletionTokens","TotalTokens","TokensPerSec","Status"
"hermes-3","Hello","1745.1069","-1","-1","-1","-0.57","Success"
"hermes-3","What is 2+2?","565.0589","-1","-1","-1","-1.77","Success"
"hermes-3","Explain photosynthesis in one sentence","954.892","-1","-1","-1","-1.05","Success"
"hermes-3","Write a Python function that adds two numbers","2460.7572","-1","-1","-1","-0.41","Success"
"hermes-3","Summarize the history of artificial intelligence","2946.0144","-1","-1","-1","-0.34","Success"
"nemotron-3-nano","Hello","4019.3549","18","46","64","11.44","Success"
"nemotron-3-nano","What is 2+2?","690.9451","24","31","55","44.87","Success"
"nemotron-3-nano","Explain photosynthesis in one sentence","2238.3302","23","124","147","55.4","Success"
"nemotron-3-nano","Write a Python function that adds two numbers","3879.2983","25","200","225","51.56","Success"
"nemotron-3-nano","Summarize the history of artificial intelligence","5539.0171","25","200","225","36.11","Success"
